team,season,player,position,league_starts,league_subs,league_apps,league_goals
Arsenal,2223,Aaron Ramsdale,GK,38,0,38,0
Arsenal,2223,Kieran Tierney,DF,6,21,27,0
Arsenal,2223,Ben White,DF,36,2,38,2
Arsenal,2223,Thomas Partey,MF,28,5,33,3
Arsenal,2223,Gabriel Magalhães,DF,38,0,38,3
Arsenal,2223,Bukayo Saka,FW,37,1,38,14
Arsenal,2223,Martin Ødegaard,MF,37,0,37,15
Arsenal,2223,Gabriel Jesus,FW,24,2,26,11
Arsenal,2223,Emile Smith Rowe,MF,0,12,12,0
Arsenal,2223,Gabriel Martinelli,FW,34,2,36,15
Arsenal,2223,William Saliba,DF,27,0,27,2
Arsenal,2223,Eddie Nketiah,FW,9,21,30,4
Arsenal,2223,Jakub Kiwior,DF,5,2,7,1
Arsenal,2223,Rob Holding,DF,6,8,14,1
Arsenal,2223,Takehiro Tomiyasu,DF,6,15,21,0
Arsenal,2223,Leandro Trossard,FW,10,10,20,1
Arsenal,2223,Jorginho,MF,9,5,14,0
Arsenal,2223,Fábio Vieira,MF,3,19,22,1
Arsenal,2223,Reiss Nelson,FW,0,11,11,3
Arsenal,2223,Mohamed Elneny,MF,1,4,5,0
Arsenal,2223,Matt Turner,GK,0,0,0,0
Arsenal,2223,Karl Hein,GK,0,0,0,0
Arsenal,2223,Granit Xhaka,MF,36,1,37,7
Arsenal,2223,Oleksandr Zinchenko,DF,26,1,27,1
Arsenal,2223,Ethan Nwaneri,MF,0,1,1,0
Arsenal,2223,Cédric Soares,DF,0,2,2,0
Arsenal,2223,Albert Sambi Lokonga,MF,2,4,6,0
Arsenal,2223,Marquinhos,FW,0,1,1,0
Arsenal,2324,Aaron Ramsdale,GK,6,0,6,0
Arsenal,2324,William Saliba,DF,38,0,38,2
Arsenal,2324,Ben White,DF,35,2,37,4
Arsenal,2324,Thomas Partey,MF,9,5,14,0
Arsenal,2324,Gabriel Magalhães,DF,34,2,36,4
Arsenal,2324,Bukayo Saka,FW,35,0,35,16
Arsenal,2324,Martin Ødegaard,MF,35,0,35,8
Arsenal,2324,Gabriel Jesus,FW,17,10,27,4
Arsenal,2324,Emile Smith Rowe,MF,3,10,13,0
Arsenal,2324,Gabriel Martinelli,FW,24,11,35,6
Arsenal,2324,Jurriën Timber,DF,1,1,2,0
Arsenal,2324,Eddie Nketiah,FW,10,17,27,5
Arsenal,2324,Jakub Kiwior,DF,11,9,20,1
Arsenal,2324,Cédric Soares,DF,0,3,3,0
Arsenal,2324,Takehiro Tomiyasu,DF,10,12,22,2
Arsenal,2324,Leandro Trossard,FW,18,16,34,12
Arsenal,2324,Jorginho,MF,10,14,24,0
Arsenal,2324,Fábio Vieira,MF,2,9,11,1
Arsenal,2324,David Raya,GK,32,0,32,0
Arsenal,2324,Reiss Nelson,FW,1,14,15,0
Arsenal,2324,Mohamed Elneny,MF,0,3,3,0
Arsenal,2324,Kai Havertz,MF,30,7,37,13
Arsenal,2324,Oleksandr Zinchenko,DF,20,7,27,1
Arsenal,2324,Declan Rice,MF,37,1,38,7
Arsenal,2324,Ethan Nwaneri#,MF,0,1,1,0
Arsenal,2324,Kieran Tierney,DF,0,0,0,0
Arsenal,2324,Charles Sagoe Jr†#,FW,0,0,0,0
Arsenal,2425,William Saliba,DF,35,0,35,0
Arsenal,2425,Kieran Tierney,DF,2,11,13,0
Arsenal,2425,Ben White,DF,13,4,17,0
Arsenal,2425,Thomas Partey,MF,31,4,35,0
Arsenal,2425,Gabriel Magalhães,DF,28,0,28,0
Arsenal,2425,Bukayo Saka,FW,20,5,25,0
Arsenal,2425,Martin Ødegaard,MF,26,4,30,0
Arsenal,2425,Gabriel Jesus,FW,6,11,17,0
Arsenal,2425,Gabriel Martinelli,FW,25,8,33,0
Arsenal,2425,Jurriën Timber,DF,27,3,30,0
Arsenal,2425,Jakub Kiwior,DF,10,7,17,0
Arsenal,2425,Oleksandr Zinchenko,DF,5,10,15,0
Arsenal,2425,Takehiro Tomiyasu,DF,0,1,1,0
Arsenal,2425,Leandro Trossard,FW,28,10,38,0
Arsenal,2425,Jorginho,MF,9,6,15,0
Arsenal,2425,David Raya,GK,38,0,38,0
Arsenal,2425,Mikel Merino,MF,17,11,28,0
Arsenal,2425,Kai Havertz,FW,21,2,23,0
Arsenal,2425,Raheem Sterling,FW,7,10,17,0
Arsenal,2425,Neto,GK,0,0,0,0
Arsenal,2425,Riccardo Calafiori,DF,11,8,19,0
Arsenal,2425,Tommy Setford*#,GK,0,0,0,0
Arsenal,2425,Nathan Butler-Oyedeji#,FW,0,1,1,0
Arsenal,2425,Declan Rice,MF,33,2,35,0
Arsenal,2425,Ismeal Kabia#,FW,0,0,0,0
Arsenal,2425,Myles Lewis-Skelly#,MF,15,8,23,0
Arsenal,2425,Josh Nichols#,DF,0,0,0,0
Arsenal,2425,Ethan Nwaneri#,MF,11,15,26,0
Arsenal,2425,Jack Porter#,GK,0,0,0,0
Arsenal,2425,Reiss Nelson,FW,0,1,1,0
Arsenal,2425,Maldini Kacurri†#,DF,0,0,0,0
Arsenal,2425,Ayden Heaven†#,DF,0,0,0,0
Arsenal,2526,David Raya,GK,37,0,37,0
Arsenal,2526,William Saliba,DF,30,1,31,1
Arsenal,2526,Cristhian Mosquera,DF,9,11,20,0
Arsenal,2526,Ben White,DF,9,3,12,0
Arsenal,2526,Piero Hincapié,DF,20,5,25,1
Arsenal,2526,Gabriel Magalhães,DF,30,2,32,3
Arsenal,2526,Bukayo Saka,FW,25,6,31,7
Arsenal,2526,Martin Ødegaard,MF,16,8,24,1
Arsenal,2526,Gabriel Jesus,FW,3,11,14,3
Arsenal,2526,Eberechi Eze,FW,21,11,32,7
Arsenal,2526,Gabriel Martinelli,FW,11,19,30,1
Arsenal,2526,Jurriën Timber,DF,28,2,30,3
Arsenal,2526,Kepa Arrizabalaga,GK,1,0,1,0
Arsenal,2526,Viktor Gyökeres,FW,26,10,36,14
Arsenal,2526,Christian Nørgaard,MF,1,6,7,0
Arsenal,2526,Leandro Trossard,FW,21,10,31,6
